Date,Sit_Start,Sit_End,Duration_sec
2025-12-13,2025-12-13 16:33:40,2025-12-13 16:34:03,23.5
2025-12-13,2025-12-13 16:34:11,2025-12-13 16:36:27,135.9
2025-12-13,2025-12-13 16:52:48,2025-12-13 16:53:22,34.3
2025-12-13,2025-12-13 16:54:09,2025-12-13 16:54:28,18.4
2025-12-13,2025-12-13 17:09:25,2025-12-13 17:09:28,2.7
2025-12-13,2025-12-13 17:09:37,2025-12-13 17:09:42,5.4
2025-12-13,2025-12-13 17:09:50,2025-12-13 17:09:55,5.2
2025-12-13,2025-12-13 17:11:54,2025-12-13 17:11:57,3.4
2025-12-13,2025-12-13 17:22:30,2025-12-13 17:23:03,33.2
2025-12-13,2025-12-13 17:26:12,2025-12-13 17:26:29,16.7
2025-12-13,2025-12-13 17:30:01,2025-12-13 17:30:18,17.0
2025-12-13,2025-12-13 17:30:24,2025-12-13 17:30:28,4.1
2025-12-13,2025-12-13 17:30:34,2025-12-13 17:30:39,5.2
2025-12-13,2025-12-13 17:31:21,2025-12-13 17:33:18,117.1
2025-12-13,2025-12-13 17:39:51,2025-12-13 17:39:54,3.5
2025-12-13,2025-12-13 17:40:10,2025-12-13 17:40:19,9.0
2025-12-13,2025-12-13 17:42:19,2025-12-13 17:42:21,2.1
2025-12-13,2025-12-13 17:43:36,2025-12-13 17:43:44,8.3
2025-12-13,2025-12-13 17:45:14,2025-12-13 17:45:30,16.0
2025-12-13,2025-12-13 17:45:36,2025-12-13 17:45:40,4.5
2025-12-13,2025-12-13 17:50:12,2025-12-13 17:50:42,30.6
2025-12-13,2025-12-13 17:50:45,2025-12-13 17:51:15,29.7
2025-12-13,2025-12-13 17:55:11,2025-12-13 17:55:16,5.4
2025-12-13,2025-12-13 17:55:27,2025-12-13 17:55:38,11.4
2025-12-13,2025-12-13 17:55:40,2025-12-13 17:55:44,3.6
2025-12-13,2025-12-13 17:55:50,2025-12-13 17:55:58,7.8
2025-12-13,2025-12-13 17:56:00,2025-12-13 17:56:07,6.8
2025-12-13,2025-12-13 17:56:46,2025-12-13 17:57:13,26.4
2025-12-13,2025-12-13 17:57:15,2025-12-13 17:57:16,1.2
2025-12-13,2025-12-13 17:57:18,2025-12-13 17:57:19,1.9
2025-12-13,2025-12-13 17:57:21,2025-12-13 17:57:29,7.7
2025-12-13,2025-12-13 17:57:31,2025-12-13 17:57:33,2.4
2025-12-13,2025-12-13 17:57:37,2025-12-13 17:57:40,2.6
2025-12-13,2025-12-13 17:57:47,2025-12-13 17:57:55,7.1
2025-12-13,2025-12-13 18:01:10,2025-12-13 18:01:35,24.7
2025-12-13,2025-12-13 18:01:37,2025-12-13 18:01:41,3.5
2025-12-13,2025-12-13 18:01:43,2025-12-13 18:02:02,19.3
2025-12-13,2025-12-13 18:02:04,2025-12-13 18:02:29,25.1
2025-12-13,2025-12-13 18:02:32,2025-12-13 18:02:35,3.1
2025-12-13,2025-12-13 18:02:38,2025-12-13 18:02:41,2.9
2025-12-13,2025-12-13 18:08:40,2025-12-13 18:08:49,8.1
2025-12-13,2025-12-13 18:08:51,2025-12-13 18:08:55,4.5
2025-12-13,2025-12-13 18:08:57,2025-12-13 18:09:01,3.3
2025-12-13,2025-12-13 18:09:04,2025-12-13 18:09:06,2.4
2025-12-13,2025-12-13 18:09:09,2025-12-13 18:09:11,2.0
2025-12-13,2025-12-13 18:09:14,2025-12-13 18:09:15,1.0
2025-12-13,2025-12-13 18:11:08,2025-12-13 18:11:15,7.4
2025-12-13,2025-12-13 18:16:18,2025-12-13 18:16:24,5.8
2025-12-13,2025-12-13 18:16:27,2025-12-13 18:16:33,6.1
2025-12-13,2025-12-13 18:18:02,2025-12-13 18:18:17,15.0
2025-12-13,2025-12-13 18:22:42,2025-12-13 18:24:10,87.8
2025-12-13,2025-12-13 18:25:46,2025-12-13 18:26:01,14.3
2025-12-13,2025-12-13 18:29:42,2025-12-13 18:29:45,3.0
2025-12-13,2025-12-13 18:29:47,2025-12-13 18:29:49,1.5
2025-12-13,2025-12-13 18:30:01,2025-12-13 18:30:07,6.6
2025-12-13,2025-12-13 18:32:46,2025-12-13 18:32:48,1.7
2025-12-13,2025-12-13 18:33:11,2025-12-13 18:33:14,2.3
2025-12-13,2025-12-13 18:37:45,2025-12-13 18:38:12,27.0
2025-12-13,2025-12-13 18:39:34,2025-12-13 18:39:37,3.3
2025-12-13,2025-12-13 18:40:19,2025-12-13 18:41:04,45.0
2025-12-13,2025-12-13 18:42:38,2025-12-13 18:43:01,23.5
2025-12-13,2025-12-13 18:43:10,2025-12-13 18:43:51,40.1
2025-12-13,2025-12-13 18:48:02,2025-12-13 18:48:05,2.9
2025-12-13,2025-12-13 18:48:35,2025-12-13 18:48:55,20.0
2025-12-13,2025-12-13 18:53:38,2025-12-13 18:53:52,13.8
2025-12-13,2025-12-13 18:54:01,2025-12-13 18:54:05,3.7
2025-12-13,2025-12-13 18:54:57,2025-12-13 18:55:52,54.6
2025-12-13,2025-12-13 18:56:16,2025-12-13 18:56:31,15.2
2025-12-13,2025-12-13 18:58:26,2025-12-13 18:58:31,5.2
2025-12-13,2025-12-13 18:58:39,2025-12-13 18:58:46,7.1
2025-12-13,2025-12-13 18:58:55,2025-12-13 18:58:57,2.6
2025-12-13,2025-12-13 18:59:05,2025-12-13 18:59:45,39.8
2025-12-13,2025-12-13 19:04:40,2025-12-13 19:05:19,39.3
2025-12-13,2025-12-13 19:06:16,2025-12-13 19:07:20,63.7
2025-12-13,2025-12-13 19:11:53,2025-12-13 19:13:25,92.4
2025-12-13,19:20:54,19:21:00,5.8
2025-12-13,19:21:02,19:21:04,2.2
2025-12-13,19:21:34,19:23:16,102.4
2025-12-13,21:00:55,21:02:00,65.1
2025-12-13,21:02:04,21:02:13,9.2
2025-12-13,21:02:23,21:02:38,15.4
2025-12-13,21:02:48,21:02:55,7.5
2025-12-13,21:03:11,21:03:15,4.1
2025-12-13,21:03:17,21:04:20,63.0
2025-12-13,21:15:06,21:15:17,11.7
2025-12-13,21:15:20,21:15:25,4.8
2025-12-13,21:15:27,21:15:32,5.0
2025-12-13,21:15:39,21:16:29,49.8
2025-12-13,21:16:34,21:16:38,4.0
2025-12-13,21:16:43,21:16:47,4.1
2025-12-13,21:16:53,21:16:57,3.7
2025-12-13,21:17:00,21:17:03,3.1
2025-12-13,21:17:09,21:18:07,57.5
2025-12-13,2025-12-13 21:22:47,2025-12-13 21:23:08,20.9
2025-12-13,2025-12-13 21:23:10,2025-12-13 21:23:27,17.2
2025-12-13,2025-12-13 21:23:52,2025-12-13 21:23:54,2.2
2025-12-13,2025-12-13 21:25:00,2025-12-13 21:25:37,37.8
2025-12-13,2025-12-13 21:34:35,2025-12-13 21:34:38,3.3
2025-12-13,2025-12-13 21:34:43,2025-12-13 21:34:44,1.0
2025-12-13,2025-12-13 21:34:47,2025-12-13 21:34:52,4.8
2025-12-13,2025-12-13 21:34:56,2025-12-13 21:36:17,80.6
2025-12-13,2025-12-13 21:52:56,2025-12-13 21:53:10,13.9
2025-12-13,2025-12-13 21:53:13,2025-12-13 21:53:22,9.6
2025-12-13,2025-12-13 21:53:39,2025-12-13 21:54:38,58.9
2025-12-13,21:58:21,21:58:35,14.0
2025-12-13,21:58:37,21:58:39,1.8
2025-12-13,21:58:43,21:58:48,5.1
2025-12-13,21:59:34,21:59:39,5.2
2025-12-13,21:59:45,21:59:48,2.9
2025-12-13,22:00:38,22:01:28,50.2
2025-12-13,22:10:11,22:10:14,3.0
2025-12-13,22:10:17,22:10:26,8.5
2025-12-13,22:10:33,22:11:32,59.7
2025-12-13,22:16:02,22:16:23,21.7
2025-12-13,22:17:06,22:17:11,4.4
2025-12-13,22:17:19,22:17:24,5.5
2025-12-13,22:17:40,22:18:57,77.6
2025-12-13,22:23:32,22:23:40,8.2
2025-12-13,22:24:19,22:24:21,1.9
2025-12-13,22:24:33,22:24:40,6.8
2025-12-13,22:31:37,22:31:42,4.6
2025-12-13,22:32:19,22:32:45,25.4
2025-12-13,22:44:52,22:44:55,3.0
2025-12-13,22:45:03,22:45:09,5.5
2025-12-13,22:45:20,22:45:24,4.0
2025-12-13,22:46:06,22:46:10,3.2
2025-12-13,22:46:19,22:46:33,14.1
2025-12-14,14:32:25,14:32:43,17.4
2025-12-14,14:32:48,14:33:06,18.3
2025-12-14,14:35:13,14:35:14,1.6
2025-12-14,16:16:34,16:17:02,28.0
2025-12-14,16:17:04,16:17:24,20.1
2025-12-14,16:17:43,16:17:46,2.7
2025-12-14,16:18:38,16:19:04,26.2
2025-12-14,16:23:17,16:23:19,1.8
2025-12-14,16:23:23,16:24:52,88.7
2025-12-14,16:24:53,16:25:05,11.9
2025-12-14,16:25:08,16:25:12,4.7
2025-12-14,16:25:14,16:25:22,7.8
2025-12-14,16:25:37,16:25:45,8.5
2025-12-14,16:25:51,16:25:58,7.2
2025-12-14,16:26:12,16:26:22,10.0
2025-12-14,16:26:24,16:26:43,19.4
2025-12-14,16:45:45,16:45:49,3.5
2025-12-14,16:47:08,16:47:24,15.6
2025-12-14,16:56:34,16:56:35,1.7
2025-12-14,16:59:27,17:00:07,40.1
2025-12-14,17:03:30,17:03:32,2.4
2025-12-14,17:03:41,17:03:44,2.8
2025-12-14,17:03:53,17:04:18,25.0
2025-12-14,17:06:56,17:07:02,6.0
2025-12-14,17:07:11,17:07:22,11.8
2025-12-14,17:07:26,17:07:31,4.9
2025-12-14,17:08:14,17:08:16,2.0
2025-12-14,17:08:19,17:08:22,3.1
2025-12-14,17:15:08,17:15:10,2.1
2025-12-14,17:15:18,17:15:22,4.6
2025-12-14,17:15:25,17:15:27,2.0
2025-12-14,17:15:51,17:15:54,3.5
2025-12-14,17:15:59,17:16:06,7.5
2025-12-14,17:21:06,17:21:19,12.4
2025-12-14,17:21:22,17:21:31,8.2
2025-12-14,17:21:45,17:21:50,5.1
2025-12-14,17:22:46,17:22:51,5.8
2025-12-14,17:22:57,17:22:59,1.6
2025-12-14,17:24:43,17:24:50,7.3
2025-12-14,17:38:05,17:38:08,3.8
2025-12-14,17:38:27,17:39:01,34.1
2025-12-14,18:00:50,18:00:56,5.8
2025-12-14,18:01:13,18:02:41,87.4
2025-12-14,18:09:27,18:09:32,5.8
2025-12-14,18:15:33,18:15:39,5.5
2025-12-14,18:27:53,18:27:58,5.8
2025-12-14,18:28:35,18:28:36,1.9
2025-12-14,18:28:49,18:28:55,6.5
2025-12-14,18:28:57,18:29:58,60.6
2025-12-14,18:30:36,18:30:39,3.3
2025-12-14,18:43:21,18:44:32,71.1
2025-12-14,18:59:50,18:59:53,3.2
2025-12-14,18:59:55,18:59:57,1.3
2025-12-14,19:00:46,19:00:48,1.2
2025-12-14,19:01:02,19:01:09,6.7
2025-12-14,19:01:13,19:01:21,7.9
2025-12-14,19:01:22,19:01:24,1.2
2025-12-14,19:01:31,19:01:32,1.4
2025-12-14,19:11:15,19:11:20,5.6
2025-12-14,19:14:45,19:15:18,32.4
2025-12-14,19:15:33,19:16:07,33.5
2025-12-14,19:17:08,19:17:11,3.0
2025-12-14,19:19:19,19:19:24,5.0
2025-12-14,19:25:50,19:25:57,7.0
2025-12-14,19:27:52,19:27:53,1.2
2025-12-14,19:28:10,19:28:15,4.4
2025-12-14,19:36:46,19:37:00,14.7
2025-12-14,19:38:33,19:38:54,20.5
2025-12-14,19:39:57,19:40:07,10.3
2025-12-14,19:40:09,19:40:11,1.8
2025-12-14,19:40:21,19:40:23,1.8
2025-12-14,19:41:16,19:41:42,26.2
2025-12-14,21:45:31,21:45:42,10.7
2025-12-14,21:45:44,21:45:47,3.1
2025-12-14,21:46:02,21:46:04,1.2
2025-12-14,21:46:52,21:47:45,53.3
2025-12-14,21:48:38,21:49:12,34.2
2025-12-14,21:49:21,21:49:23,2.5
2025-12-14,21:51:44,21:51:46,2.3
2025-12-14,21:51:48,21:52:42,54.1
2025-12-14,22:11:25,22:11:37,11.4
2025-12-14,22:20:54,22:21:02,7.8
2025-12-14,22:21:05,22:21:08,3.4
2025-12-14,22:21:14,22:21:47,32.8
2025-12-14,22:35:16,22:35:40,24.7
2025-12-14,22:36:54,22:37:44,50.3
2025-12-14,22:56:52,22:57:01,8.7
2025-12-14,22:57:02,22:57:05,2.2
2025-12-14,22:59:18,22:59:37,19.1
2025-12-14,23:11:30,23:11:42,11.8
2025-12-14,23:11:48,23:12:52,64.2
2025-12-14,23:23:49,23:24:08,19.4
2025-12-14,23:24:13,23:25:45,92.2
2025-12-14,23:29:07,23:29:20,13.0
2025-12-14,23:50:50,23:51:11,21.3
2025-12-14,23:51:17,23:51:40,23.0
2025-12-14,23:51:49,23:51:55,5.5
2025-12-14,23:52:00,23:52:16,15.9
2025-12-14,23:52:33,23:52:37,3.3
2025-12-14,23:52:58,23:53:16,17.3
2025-12-14,23:53:26,23:53:27,1.4
2025-12-14,23:53:31,23:53:40,9.0
2025-12-14,23:53:52,23:54:01,9.2
2025-12-14,23:54:52,23:55:18,26.4
2025-12-15,00:00:34,00:00:58,24.0
2025-12-15,15:33:22,15:33:23,1.1
2025-12-15,15:33:24,15:33:26,2.1
2025-12-15,15:35:02,15:35:12,10.2
2025-12-15,15:36:00,15:36:24,24.1
2025-12-15,15:36:33,15:37:30,56.9
2025-12-15,19:25:38,19:25:48,9.8
2025-12-15,19:25:57,19:26:22,25.2
2025-12-15,19:27:51,19:27:54,2.6
2025-12-15,19:27:56,19:28:32,36.0
2025-12-15,19:29:30,19:32:19,169.2
2025-12-15,19:36:25,19:36:29,3.4
2025-12-15,19:36:30,19:36:34,3.5
2025-12-15,19:36:38,19:37:02,23.9
2025-12-15,19:37:17,19:38:41,83.3
2025-12-15,19:39:48,19:39:57,8.1
2025-12-15,19:41:58,19:42:14,15.1
2025-12-15,19:42:51,19:42:52,1.2
2025-12-15,19:43:16,19:43:23,7.2
2025-12-15,19:43:36,19:44:32,56.4
2025-12-15,21:18:42,21:18:44,2.1
2025-12-15,21:18:54,21:20:00,65.8
2025-12-15,21:21:37,21:21:41,3.6
2025-12-15,21:53:53,21:54:11,18.7
2025-12-15,22:20:35,22:20:49,13.4
2025-12-15,22:20:57,22:22:02,65.9
2025-12-16,14:00:23,14:00:34,11.0
2025-12-16,14:00:35,14:00:37,1.2
2025-12-16,14:00:38,14:01:33,54.9
2025-12-16,14:01:55,14:01:58,2.5
2025-12-16,14:02:47,14:03:10,23.4
2025-12-16,14:03:13,14:03:14,1.2
2025-12-16,14:03:23,14:03:42,19.6
2025-12-16,14:04:05,14:04:08,3.1
2025-12-16,14:04:12,14:04:44,31.5
